datsea;debsyn;autinc;deburl;numero;estcongres;libspec;etavidcod
14/04/2001;O;N;s200104/s20010414/st20010414000.html;NULL;N;NULL;A
14/01/2003;O;N;s200301/s20030114/st20030114000.html;NULL;N;NULL;A
15/01/2003;O;N;s200301/s20030115/st20030115000.html;NULL;N;NULL;A
16/01/2003;O;N;s200301/s20030116/st20030116000.html;NULL;N;NULL;A
21/01/2003;O;N;s200301/s20030121/st20030121000.html;NULL;N;NULL;A
22/01/2003;O;N;s200301/s20030122/st20030122000.html;NULL;N;NULL;A
23/01/2003;O;N;s200301/s20030123/st20030123000.html;NULL;N;NULL;A
28/01/2003;O;N;s200301/s20030128/st20030128000.html;NULL;N;NULL;A
29/01/2003;O;N;s200301/s20030129/st20030129000.html;NULL;N;NULL;A
30/01/2003;O;O;s200301/s20030130/st20030130000.html;NULL;N;NULL;A
04/02/2003;O;N;s200302/s20030204/st20030204000.html;NULL;N;NULL;A
05/02/2003;O;N;s200302/s20030205/st20030205000.html;NULL;N;NULL;A
06/02/2003;O;N;s200302/s20030206/st20030206000.html;NULL;N;NULL;A
11/02/2003;O;N;s200302/s20030211/st20030211000.html;NULL;N;NULL;A
12/02/2003;O;N;s200302/s20030212/st20030212000.html;NULL;N;NULL;A
13/02/2003;O;N;s200302/s20030213/st20030213000.html;NULL;N;NULL;A
25/02/2003;O;O;s200302/s20030225/st20030225000.html;NULL;N;NULL;A
26/02/2003;O;N;s200302/s20030226/st20030226000.html;NULL;N;NULL;A
27/02/2003;O;O;s200302/s20030227/st20030227000.html;NULL;N;NULL;A
04/03/2003;O;O;s200303/s20030304/st20030304000.html;NULL;N;NULL;A
05/03/2003;O;N;s200303/s20030305/st20030305000.html;NULL;N;NULL;A
06/03/2003;O;O;s200303/s20030306/st20030306000.html;NULL;N;NULL;A
07/03/2003;O;O;s200303/s20030307/st20030307000.html;NULL;N;NULL;A
11/03/2003;O;O;s200303/s20030311/st20030311000.html;NULL;N;NULL;A
12/03/2003;O;O;s200303/s20030312/st20030312000.html;NULL;N;NULL;A
13/03/2003;O;N;s200303/s20030313/st20030313000.html;NULL;N;NULL;A
18/03/2003;O;N;s200303/s20030318/st20030318000.html;NULL;N;NULL;A
19/03/2003;O;N;s200303/s20030319/st20030319000.html;NULL;N;NULL;A
20/03/2003;O;N;s200303/s20030320/st20030320000.html;NULL;N;NULL;A
25/03/2003;O;O;s200303/s20030325/st20030325000.html;NULL;N;NULL;A
26/03/2003;O;N;s200303/s20030326/st20030326000.html;NULL;N;NULL;A
27/03/2003;O;N;s200303/s20030327/st20030327000.html;NULL;N;NULL;A
01/04/2003;O;N;s200304/s20030401/st20030401000.html;NULL;N;NULL;A
02/04/2003;O;N;s200304/s20030402/st20030402000.html;NULL;N;NULL;A
03/04/2003;O;N;s200304/s20030403/st20030403000.html;NULL;N;NULL;A
08/04/2003;O;O;s200304/s20030408/st20030408000.html;NULL;N;NULL;A
09/04/2003;O;O;s200304/s20030409/st20030409000.html;NULL;N;NULL;A
10/04/2003;O;O;s200304/s20030410/st20030410000.html;NULL;N;NULL;A
29/04/2003;O;N;s200304/s20030429/st20030429000.html;NULL;N;NULL;A
30/04/2003;O;N;s200304/s20030430/st20030430000.html;NULL;N;NULL;A
06/05/2003;O;N;s200305/s20030506/st20030506000.html;NULL;N;NULL;A
07/05/2003;O;N;s200305/s20030507/st20030507000.html;NULL;N;NULL;A
13/05/2003;O;N;s200305/s20030513/st20030513000.html;NULL;N;NULL;A
14/05/2003;O;N;s200305/s20030514/st20030514000.html;NULL;N;NULL;A
15/05/2003;O;N;s200305/s20030515/st20030515000.html;NULL;N;NULL;A
20/05/2003;O;N;s200305/s20030520/st20030520000.html;NULL;N;NULL;A
21/05/2003;O;N;s200305/s20030521/st20030521000.html;NULL;N;NULL;A
22/05/2003;O;N;s200305/s20030522/st20030522000.html;NULL;N;NULL;A
26/05/2003;O;N;s200305/s20030526/st20030526000.html;NULL;N;NULL;A
27/05/2003;O;N;s200305/s20030527/st20030527000.html;NULL;N;NULL;A
28/05/2003;O;N;s200305/s20030528/st20030528000.html;NULL;N;NULL;A
03/06/2003;O;N;s200306/s20030603/st20030603000.html;NULL;N;NULL;A
04/06/2003;O;N;s200306/s20030604/st20030604000.html;NULL;N;NULL;A
05/06/2003;O;N;s200306/s20030605/st20030605000.html;NULL;N;NULL;A
10/06/2003;O;N;s200306/s20030610/st20030610000.html;NULL;N;NULL;A
11/06/2003;O;N;s200306/s20030611/st20030611000.html;NULL;N;NULL;A
12/06/2003;O;N;s200306/s20030612/st20030612000.html;NULL;N;NULL;A
16/06/2003;O;N;s200306/s20030616/st20030616000.html;NULL;N;NULL;A
17/06/2003;O;N;s200306/s20030617/st20030617000.html;NULL;N;NULL;A
18/06/2003;O;N;s200306/s20030618/st20030618000.html;NULL;N;NULL;A
19/06/2003;O;N;s200306/s20030619/st20030619000.html;NULL;N;NULL;A
24/06/2003;O;N;s200306/s20030624/st20030624000.html;NULL;N;NULL;A
25/06/2003;O;N;s200306/s20030625/st20030625000.html;NULL;N;NULL;A
26/06/2003;O;N;s200306/s20030626/st20030626000.html;NULL;N;NULL;A
01/07/2003;O;N;s200307/s20030701/st20030701000.html;NULL;N;NULL;A
02/07/2003;O;N;s200307/s20030702/st20030702000.html;NULL;N;NULL;A
07/07/2003;O;N;s200307/s20030707/st20030707000.html;NULL;N;NULL;A
08/07/2003;O;N;s200307/s20030708/st20030708000.html;NULL;N;NULL;A
09/07/2003;O;N;s200307/s20030709/st20030709000.html;NULL;N;NULL;A
10/07/2003;O;N;s200307/s20030710/st20030710000.html;NULL;N;NULL;A
11/07/2003;O;N;s200307/s20030711/st20030711000.html;NULL;N;NULL;A
12/07/2003;O;N;s200307/s20030712/st20030712000.html;NULL;N;NULL;A
15/07/2003;O;N;s200307/s20030715/st20030715000.html;NULL;N;NULL;A
16/07/2003;O;N;s200307/s20030716/st20030716000.html;NULL;N;NULL;A
17/07/2003;O;N;s200307/s20030717/st20030717000.html;NULL;N;NULL;A
18/07/2003;O;N;s200307/s20030718/st20030718000.html;NULL;N;NULL;A
21/07/2003;O;N;s200307/s20030721/st20030721000.html;NULL;N;NULL;A
22/07/2003;O;N;s200307/s20030722/st20030722000.html;NULL;N;NULL;A
23/07/2003;O;N;s200307/s20030723/st20030723000.html;NULL;N;NULL;A
24/07/2003;O;N;s200307/s20030724/st20030724000.html;NULL;N;NULL;A
01/10/2003;O;N;s200310/s20031001/st20031001000.html;NULL;N;NULL;A
02/10/2003;O;N;s200310/s20031002/st20031002000.html;NULL;N;NULL;A
07/10/2003;O;N;s200310/s20031007/st20031007000.html;NULL;N;NULL;A
08/10/2003;O;N;s200310/s20031008/st20031008000.html;NULL;N;NULL;A
09/10/2003;O;N;s200310/s20031009/st20031009000.html;NULL;N;NULL;A
14/10/2003;O;N;s200310/s20031014/st20031014000.html;NULL;N;NULL;A
15/10/2003;O;N;s200310/s20031015/st20031015000.html;NULL;N;NULL;A
16/10/2003;O;N;s200310/s20031016/st20031016000.html;NULL;N;NULL;A
21/10/2003;O;N;s200310/s20031021/st20031021000.html;NULL;N;NULL;A
22/10/2003;O;N;s200310/s20031022/st20031022000.html;NULL;N;NULL;A
23/10/2003;O;N;s200310/s20031023/st20031023000.html;NULL;N;NULL;A
27/10/2003;O;N;s200310/s20031027/st20031027000.html;NULL;N;NULL;A
28/10/2003;O;N;s200310/s20031028/st20031028000.html;NULL;N;NULL;A
29/10/2003;O;N;s200310/s20031029/st20031029000.html;NULL;N;NULL;A
30/10/2003;O;N;s200310/s20031030/st20031030000.html;NULL;N;NULL;A
04/11/2003;O;N;s200311/s20031104/st20031104000.html;NULL;N;NULL;A
05/11/2003;O;N;s200311/s20031105/st20031105000.html;NULL;N;NULL;A
06/11/2003;O;N;s200311/s20031106/st20031106000.html;NULL;N;NULL;A
07/11/2003;O;N;s200311/s20031107/st20031107000.html;NULL;N;NULL;A
12/11/2003;O;N;s200311/s20031112/st20031112000.html;NULL;N;NULL;A
